Wavelength,,,,
nm,,,,
Type,DurSynth,DurSynth,DurSynth,DurSynth
AA,Cys,Glu,Phe,Try
experim,1,2,3,4
653,2.0421,1.83543,2.21804,1.22436
654,1.92164,1.77526,2.13847,1.18081
655,1.93729,1.65448,2.09223,1.15367
656,1.97289,1.82456,1.99591,1.12703
657,2.00913,1.8719,2.02635,1.09576
658,2.04211,1.7988,2.11121,1.02003
659,2.0343,1.83743,2.04103,1.05462
660,2.04688,1.93011,2.09618,1.24774
661,1.98819,1.85665,2.03001,1.1437
662,2.00969,1.77686,2.00823,1.07835
663,1.93422,1.81319,1.99452,1.10319
664,2.01079,1.83806,1.93935,1.06503
665,1.84763,1.67332,1.85259,1.03998
666,1.93146,1.63468,1.98275,1.11442
667,1.95667,1.76538,2.14625,1.16642
668,1.96421,1.74363,2.12855,1.2271
669,1.86571,1.67553,2.08288,1.14154
670,2.03789,1.7655,2.15303,1.20976
671,2.04747,1.80901,2.07247,1.20614
672,2.10633,1.83555,2.07329,1.26435
673,2.0651,1.64541,1.95968,1.13657
674,1.98721,1.58765,1.9244,1.09401
675,2.15805,1.79845,1.98962,1.05028
676,2.10134,1.72384,1.78807,1.08319
677,2.14835,1.7381,1.76488,1.16598
678,2.07888,1.61757,1.58897,1.09057
679,2.15468,1.67975,1.71942,1.08565
680,2.1386,1.66345,1.81997,1.12547
681,2.08632,1.7023,1.98056,1.17153
682,2.20786,1.93037,2.25856,1.35551
683,2.33782,2.04375,2.30436,1.52325
684,2.36545,2.10812,2.52805,1.63731
685,2.40776,2.18824,2.59353,1.52966
686,2.47081,2.2532,2.66816,1.56326
687,2.53128,2.34666,2.7955,1.70249
688,2.49006,2.26912,2.7792,1.608
689,2.67946,2.43083,2.82463,1.49059
690,2.65665,2.37717,2.70141,1.34666
691,2.60547,2.44685,2.56471,1.23008
692,2.46406,2.33067,2.52828,0.999094
693,2.28879,2.10352,2.33967,0.855824
694,2.30057,2.04188,2.24816,0.863812
695,2.13954,2.01088,2.05358,0.84133
696,2.11023,2.05156,2.08943,0.821746
697,2.34107,2.17912,2.19492,0.932551
698,2.22795,2.15155,2.20601,1.02363
699,2.20851,2.15512,2.22344,1.05132
700,2.34432,2.13021,2.20274,1.11249
701,2.49464,2.16082,2.26534,1.26871
702,2.68756,2.33824,2.2742,1.36981
703,2.55214,2.25803,2.19701,1.28659
704,2.67858,2.40701,2.36734,1.40414
705,2.6393,2.28704,2.37205,1.23555
706,2.60505,2.23298,2.2492,1.19343
707,2.39651,2.22785,2.13148,1.15427
708,2.4607,2.34149,2.08172,1.21392
709,2.47444,2.34103,2.13289,1.26904
710,2.54931,2.51461,2.28684,1.3516
711,2.54664,2.55755,2.30442,1.422
712,2.65554,2.60932,2.51644,1.36874
713,2.78893,2.61359,2.41753,1.31996
714,2.84143,2.65183,2.44681,1.29236
715,2.67512,2.51101,2.19637,1.16686
716,2.72119,2.44375,2.1458,1.16627
717,2.57043,2.14271,2.06839,1.0147
718,2.65451,2.14907,2.1268,1.12228
719,2.51014,2.0186,1.99245,0.912622
720,2.43823,1.92932,1.93472,0.947758
721,2.60242,2.01539,1.98964,1.1345
722,2.57291,2.07764,2.1469,1.25621
723,2.60511,2.13639,2.31413,1.48296
724,2.64483,2.18456,2.48362,1.62532
725,2.62297,2.17227,2.53668,1.73465
726,2.89083,2.37389,2.62766,1.8613
727,2.9307,2.46435,2.66212,1.73781
728,3.00124,2.56469,2.7217,1.93324
729,2.99141,2.57931,2.79891,1.94424
730,2.80833,2.63425,2.65739,1.82809
731,2.88574,2.7518,2.65286,1.78624
732,2.8008,2.65623,2.60945,1.61134
733,2.88805,2.85438,2.71138,1.75897
734,2.92813,2.89432,2.72163,1.71971
735,2.81504,2.70471,2.60325,1.51538
736,2.59385,2.59764,2.52044,1.48777
737,2.51226,2.46449,2.42567,1.38113
738,2.5702,2.57833,2.48105,1.34123
739,2.59224,2.36275,2.3617,1.17226
