Wavelength,,,,,
nm,,,,,
Type,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc
AA,Ser,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1,no1_0.1a
715,0.178736,0.485722,-0.0237004,,
716,0.146421,0.557231,-0.105755,,
717,0.142671,0.726048,0.0377733,,
718,0.172062,0.71782,0.0404104,,
719,0.147225,0.769399,0.0319717,,
720,0.110705,0.605012,-0.0789163,,
721,0.0887204,0.632418,0.0238165,,
722,0.104299,0.601794,-0.0127095,,
723,0.132715,0.488089,0.0136554,,
724,0.232084,0.577592,0.0358411,,
725,0.232946,0.575729,0.161778,,
726,0.179704,0.532645,0.0774969,,
727,0.145563,0.477547,-0.00729491,,
728,0.115199,0.392265,-0.0617778,,
729,0.202548,0.521385,-0.150838,,
730,0.226812,0.498693,-0.217183,,
731,0.192635,0.526189,-0.27149,,
732,0.11264,0.685425,-0.28825,,
733,0.0578192,0.761422,-0.316766,,
734,0.0221215,0.897591,-0.466209,,
735,0.0750155,0.918166,-0.532077,,
736,0.0618113,1.00171,-0.483894,,
737,0.0973927,1.1402,-0.31097,,
738,0.052134,1.1669,-0.19268,,
739,-0.0134837,1.21371,-0.168746,,
740,0.00848796,1.32667,-0.202273,,
741,-0.00608388,1.24772,-0.17594,,
742,-0.0247756,1.19955,-0.264714,,
743,0.0184287,1.11903,-0.199907,,
744,0.0424662,1.05558,-0.0703495,,
745,0.0304778,1.07436,-0.109432,,
746,0.0407872,1.02965,-0.309755,,
747,0.0454331,1.02482,-0.396125,,
748,0.0468213,0.886059,-0.459625,,
749,0.129588,0.79396,-0.414603,,
750,0.171376,0.756208,-0.418558,,
751,0.219261,0.782938,-0.491251,,
752,0.226429,0.776155,-0.39665,,
753,0.240768,0.740571,-0.506873,,
754,0.243471,0.764055,-0.457017,,
755,0.271202,0.645883,-0.519472,,
756,0.307643,0.67556,-0.366566,,
757,0.337564,0.677462,-0.40811,,
758,0.306494,0.716642,-0.400506,,
759,0.317244,0.626487,-0.283193,,
760,0.334964,0.574916,-0.31391,,
761,0.246818,0.598711,-0.256873,,
762,0.298514,0.52171,-0.249369,,
763,0.34801,0.565131,-0.263432,,
764,0.373974,0.577777,-0.276303,,
765,0.423266,0.556753,-0.476818,,
766,0.323437,0.707019,-0.3717,,
767,0.331169,0.768385,-0.402946,,
768,0.312143,0.905407,-0.453239,,
769,0.257527,1.10062,-0.571615,,
770,0.20979,1.12008,-0.626471,,
771,0.1599,1.12798,-0.583669,,
772,0.0593719,1.11372,-0.546836,,
773,-0.0178365,1.00211,-0.389083,,
774,-0.0407671,0.944031,-0.29404,,
775,-0.0860083,0.753186,-0.26392,,
776,0.0395111,0.507627,-0.165998,,
777,0.0897055,0.332897,-0.103506,,
778,-0.0229205,0.0701994,-0.0453205,,
779,0.0441369,-0.00619386,-0.00253141,,
780,0.100959,0.0789107,0.0120601,,
781,0.0928094,0.132537,-0.0251364,,
782,0.145378,0.303757,-0.111535,,
783,0.170988,0.431918,-0.136639,,
784,0.247687,0.613382,-0.040185,,
785,0.188459,0.719791,-0.107246,,
786,0.181826,0.783942,-0.131605,,
787,0.239741,0.836146,-0.111297,,
788,0.142737,0.931329,-0.151107,,
789,0.0820604,0.838153,-0.31775,,
790,0.288222,0.863186,-0.354886,,
791,0.288006,0.816471,-0.30736,,
792,0.345333,0.802905,-0.250529,,
793,0.253613,0.831334,-0.239252,,
794,0.234154,0.782706,-0.106982,,
