Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
665,0.410555,0.495699,0.610659,0.747707
666,0.406872,0.451408,0.761223,0.742932
667,0.488225,0.565771,0.653464,0.703876
668,0.454125,0.629199,0.78529,0.663418
669,0.571344,0.844826,0.93049,0.497543
670,0.629331,0.829709,1.0312,0.438945
671,0.716415,0.731061,1.07108,0.394061
672,0.681518,0.600766,1.12737,0.316458
673,0.620416,0.627472,1.02064,0.416512
674,0.67399,0.668547,1.17319,0.458494
675,0.663233,0.809171,1.10822,0.505822
676,0.502469,0.668543,1.12776,0.45552
677,0.507705,0.46656,1.06998,0.523482
678,0.645618,0.611823,0.99059,0.536031
679,0.552509,0.531711,0.905401,0.562434
680,0.577837,0.519193,0.934176,0.632465
681,0.522191,0.662642,0.914591,0.80435
682,0.512621,0.697098,0.971675,0.830435
683,0.503661,0.557386,1.06732,0.753743
684,0.510387,0.57867,1.07629,0.74022
685,0.558013,0.691535,1.10415,0.789216
686,0.351661,0.597081,1.31049,0.734923
687,0.229358,0.466978,1.35672,0.779619
688,0.251728,0.57387,1.45765,0.809996
689,0.03045,0.536636,1.51973,0.691231
690,0.00498321,0.418152,1.66032,0.616753
691,-0.0266214,0.413483,1.73028,0.702432
692,0.056134,0.600281,1.73616,0.793376
693,-0.0369154,0.536385,1.71296,0.936549
694,0.0191819,0.44184,1.65246,0.851345
695,0.154024,0.388693,1.42018,0.805717
696,0.223946,0.328793,1.34081,0.942918
697,0.261873,0.368817,1.21092,1.04615
698,0.487561,0.563545,1.22429,1.08502
699,0.429621,0.823996,1.19852,1.11073
700,0.503845,0.815428,1.13377,1.12158
701,0.490973,0.795372,1.11754,1.08351
702,0.498564,0.777573,1.10573,1.05818
703,0.526452,0.876327,1.1986,1.15934
704,0.514081,0.953498,1.36015,1.19413
705,0.534407,1.09544,1.41716,1.15742
706,0.635089,1.09219,1.52234,1.11587
707,0.639374,1.19844,1.47598,1.06238
708,0.626433,1.08459,1.47922,1.08557
709,0.548525,1.11951,1.5527,1.06355
710,0.59701,1.12456,1.49883,1.10411
711,0.693879,1.23726,1.38102,1.05611
712,0.625588,1.2408,1.36836,1.05027
713,0.565286,1.40584,1.27726,1.08421
714,0.527015,1.44042,1.38647,1.11215
715,0.562314,1.44481,1.19702,1.07866
716,0.405299,1.34107,1.18393,1.10658
717,0.594016,1.25646,1.21367,1.08162
718,0.697937,1.27051,1.3138,1.06255
719,0.695234,1.33255,1.32828,1.06045
720,0.792442,1.23801,1.31447,1.00754
