Wavelength,,,,
nm,,,,
Type,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc
AA,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1
761,0.0468046,0.902988,0.403495,
762,0.0757859,0.888896,0.371929,
763,0.118557,0.982099,0.430764,
764,0.144271,1.01459,0.449374,
765,0.152194,1.11631,0.463195,
766,0.151615,1.19889,0.485664,
767,0.0959438,1.22988,0.427009,
768,0.100594,1.33059,0.403475,
769,0.0892135,1.48019,0.412768,
770,0.0620985,1.37667,0.302689,
771,0.00300959,1.285,0.386277,
772,-0.0395446,1.1869,0.311812,
773,-0.115805,1.1429,0.334163,
774,-0.123729,1.04795,0.231021,
775,-0.129276,0.78611,0.177815,
776,-0.0737893,0.499533,0.12082,
777,-0.0857319,0.325739,0.078343,
778,-0.236915,0.177744,-0.0448121,
779,-0.205555,0.158777,0.0157881,
780,-0.213426,0.208305,-0.0178246,
781,-0.197005,0.220888,0.0762897,
782,-0.188294,0.179603,-0.0692171,
783,-0.206969,0.271623,-0.0395098,
784,-0.256394,0.440839,-0.0298659,
785,-0.254999,0.54854,0.0281562,
786,-0.172358,0.671211,0.185952,
787,-0.131765,0.779003,0.20379,
788,-0.194614,0.930958,0.272528,
789,-0.185212,1.00972,0.103285,
790,-0.0902309,1.05824,0.0397089,
791,-0.0758911,1.20955,0.0498874,
792,-0.0257523,1.22312,0.194797,
793,-0.0520341,1.28234,0.255326,
794,-0.105852,1.34487,0.487756,
795,-0.222091,1.4358,0.396056,
796,-0.210731,1.56739,0.40037,
797,-0.117112,1.48016,0.500452,
798,-0.0432217,1.43347,0.4538,
799,-0.003222,1.38715,0.440133,
800,-0.100432,1.20954,0.618941,
