N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
DP,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.5,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.5
Speed,50,50,50,50,50,20,20,100,50,50,50,50,50,100,50,50,20,100,20,50,20,100
BW,8,8,5,5,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8,8,5,8
DIT,8,8,8,8,8,16,16,4,4,8,8,8,8,2,8,8,16,4,16,8,16,4
Acc,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,1,1,1,4
387,-0.200974,-0.220161,-0.667228,-0.114494,-0.146211,0.444535,0.181014,0.0237649,0.641802,-0.200974,0.170525,0.456453,0.0250296,0.408522,0.195469,0.379056,0.629657,0.663806,0.603894,0.277187,0.539356,0.261356
388,-0.0418122,-0.177657,-0.530865,-0.145851,-0.0759348,0.468593,0.158522,0.00761396,0.720459,-0.0418122,0.371794,0.575151,0.20267,0.453427,0.189526,0.385161,0.615616,0.633494,0.548635,0.186475,0.612058,0.22672
389,0.111184,-0.209489,-0.564416,-0.28922,-0.0553867,0.418842,0.037515,0.0693631,0.625976,0.111184,0.357197,0.592035,0.352097,0.451695,0.219012,0.442109,0.500776,0.652749,0.538123,0.270147,0.586821,0.337657
390,0.258944,-0.175837,-0.371181,-0.296513,-0.190649,0.490582,0.0462116,0.0628368,0.536084,0.258944,0.508994,0.540081,0.282294,0.294807,0.206995,0.411367,0.584907,0.668983,0.384089,0.282292,0.643817,0.323532
391,0.391204,-0.255351,-0.394851,-0.0691189,-0.198792,0.464166,0.0263855,-0.0148191,0.769279,0.391204,0.669459,0.508396,0.344791,0.1826,0.178542,0.367319,0.511592,0.684165,0.406699,0.261744,0.635083,0.352966
392,0.277543,-0.416103,-0.327293,-0.103885,-0.194919,0.413986,0.0473377,-0.0160468,1.16256,0.277543,0.801933,0.584376,0.241633,-0.0538556,0.157879,0.228262,0.528531,0.630876,0.271097,0.0931316,0.691642,0.409861
393,0.349685,-0.473461,-0.310199,-0.157266,-0.283842,0.333742,0.0296886,0.0760391,0.856231,0.349685,0.738109,0.6543,0.264486,-0.109218,0.150311,0.243688,0.58689,0.603116,0.273446,-0.0320302,0.693424,0.474598
394,0.349826,-0.546015,-0.215633,-0.251668,-0.312919,0.134986,-0.09248,0.0795824,0.427793,0.349826,0.754824,0.638549,0.349392,-0.0939709,0.131746,0.284005,0.553906,0.591587,0.261805,-0.0423278,0.684254,0.442356
395,0.370541,-0.499063,-0.0908272,-0.336817,-0.339875,0.200331,-0.0774378,0.0157103,0.272792,0.370541,0.914531,0.56099,0.451926,-0.15754,0.178745,0.197092,0.66868,0.54659,0.28325,-0.0938163,0.614438,0.385915
396,0.401279,-0.583826,0.0447895,-0.407018,-0.275484,0.120177,-0.106329,0.0785675,-0.143436,0.401279,0.849799,0.472457,0.253882,-0.129605,0.101772,0.108498,0.629625,0.497158,0.294125,-0.188779,0.417554,0.421405
397,0.425614,-0.666197,0.0250596,-0.366224,-0.287262,0.116838,-0.0680418,0.12036,-0.204101,0.425614,0.829923,0.497309,0.279364,0.0128661,0.0925659,0.0448936,0.712278,0.486531,0.320202,-0.16452,0.393278,0.418488
